0.44638,0.20106,1.2217
0.446,0.20104,1.2209
0.44561,0.20102,1.2202
0.44522,0.201,1.2194
0.44483,0.20098,1.2186
0.44445,0.20096,1.2178
0.44406,0.20094,1.217
0.44367,0.20092,1.2163
0.44328,0.2009,1.2155
0.4429,0.20088,1.2147
0.44251,0.20086,1.2139
0.44212,0.20084,1.2131
0.44173,0.20082,1.2124
0.44135,0.2008,1.2116
0.44096,0.20078,1.2108
0.44057,0.20076,1.21
0.44018,0.20074,1.2093
0.4398,0.20072,1.2085
0.43941,0.20069,1.2077
0.43902,0.20067,1.2069
0.43863,0.20065,1.2061
0.43824,0.20063,1.2054
0.43786,0.20061,1.2046
0.43747,0.20059,1.2038
0.43708,0.20057,1.203
0.43669,0.20055,1.2023
0.43631,0.20053,1.2015
0.43592,0.20051,1.2007
0.43553,0.20049,1.1999
0.43514,0.20047,1.1991
0.43476,0.20045,1.1984
0.43437,0.20043,1.1976
0.43398,0.20041,1.1968
0.43359,0.20039,1.196
0.43321,0.20037,1.1953
0.43282,0.20035,1.1945
0.43243,0.20033,1.1937
0.43204,0.20031,1.1929
0.43166,0.20029,1.1921
0.43127,0.20027,1.1914
0.43088,0.20025,1.1906
0.43049,0.20023,1.1898
0.43011,0.20021,1.189
0.42972,0.20019,1.1883
0.42933,0.20017,1.1875
0.42894,0.20015,1.1867
0.42856,0.20013,1.1859
0.42817,0.20011,1.1851
0.42778,0.20009,1.1844
0.42739,0.20007,1.1836
0.42701,0.20005,1.1828
0.42662,0.20003,1.182
0.42623,0.20001,1.1813
0.42584,0.19999,1.1805
0.42546,0.19997,1.1797
0.42507,0.19995,1.1789
0.42468,0.19993,1.1781
0.42429,0.19991,1.1774
0.42391,0.19989,1.1766
0.42352,0.19987,1.1758
0.42313,0.19985,1.175
0.42274,0.19983,1.1743
0.42236,0.19981,1.1735
0.42197,0.19979,1.1727
0.42158,0.19977,1.1719
0.42119,0.19975,1.1712
0.42081,0.19973,1.1704
0.42042,0.19971,1.1696
0.42003,0.19969,1.1688
0.41964,0.19967,1.1681
0.41926,0.19965,1.1673
0.41887,0.19963,1.1665
0.41848,0.19961,1.1657
0.41809,0.19959,1.1649
0.41771,0.19957,1.1642
0.41732,0.19955,1.1634
0.41693,0.19953,1.1626
0.41654,0.19951,1.1618
0.41616,0.19949,1.1611
0.41577,0.19947,1.1603
0.41538,0.19945,1.1595
0.41499,0.19943,1.1587
0.41461,0.19941,1.158
0.41422,0.19939,1.1572
0.41383,0.19937,1.1564
0.41345,0.19935,1.1556
0.41306,0.19933,1.1549
0.41267,0.1993,1.1541
0.41228,0.19928,1.1533
0.4119,0.19926,1.1525
0.41151,0.19924,1.1518
0.41112,0.19922,1.151
0.41073,0.1992,1.1502
0.41035,0.19918,1.1494
0.40996,0.19916,1.1487
0.40957,0.19914,1.1479
0.40918,0.19912,1.1471
0.4088,0.1991,1.1463
0.40841,0.19908,1.1456
0.40802,0.19906,1.1448
0.40764,0.19904,1.144
0.40725,0.19902,1.1432
0.40686,0.199,1.1425
0.40647,0.19898,1.1417
